"SalePrice","YearRemodAdd","GarageArea","GrLivArea","BsmtUnfSF","MoSold","OverallCond","HeatingQC","BsmtCond","GarageFinish","RoofMatl","ExterCond","RoofStyle"
208500,2003,548,1710,150,2,5,"Ex","TA","RFn","CompShg","TA","Gable"
140000,1970,642,1717,540,2,5,"Gd","Gd","Unf","CompShg","TA","Gable"
250000,2000,836,2198,490,12,5,"Ex","TA","RFn","CompShg","TA","Gable"
118000,1950,205,1077,140,1,6,"Ex","TA","RFn","CompShg","TA","Gable"
144000,1962,352,912,175,9,6,"TA","TA","Unf","CompShg","TA","Hip"
279500,2007,840,1494,1494,8,5,"Ex","TA","RFn","CompShg","TA","Gable"
132000,2001,576,854,832,7,8,"Ex","TA","Unf","CompShg","TA","Gable"
159000,2004,576,1114,468,6,5,"Ex","TA","Unf","CompShg","TA","Gable"
139000,1965,294,1339,525,5,6,"TA","TA","Unf","CompShg","TA","Hip"
139400,1950,280,1108,637,6,7,"Ex","TA","Unf","CompShg","TA","Gable"
129900,1976,572,1060,200,6,7,"TA","TA","Unf","CompShg","TA","Gable"
154000,2001,270,1060,204,5,8,"Ex","TA","Unf","CompShg","Gd","Gable"
134800,2000,576,900,180,5,7,"TA","TA","Unf","CompShg","TA","Gable"
207500,1997,319,1600,207,12,6,"TA","TA","RFn","CompShg","TA","Gable"
68500,1950,240,520,520,5,6,"Other","TA","Unf","CompShg","TA","Gable"
149350,2006,271,1228,1228,6,6,"Gd","TA","Unf","CompShg","TA","Gable"
165500,1959,447,1700,380,4,5,"Gd","TA","RFn","CompShg","TA","Hip"
277500,2005,556,1561,408,8,5,"Ex","TA","Fin","CompShg","TA","Hip"
145000,1995,672,1097,1097,6,5,"Ex","TA","Unf","CompShg","TA","Gable"
109000,2007,246,1057,326,1,7,"TA","TA","Unf","CompShg","Gd","Gable"
160000,1965,440,1324,445,12,5,"Ex","TA","RFn","CompShg","TA","Gable"
170000,1959,308,1328,383,7,6,"Gd","TA","RFn","CompShg","Gd","Gable"
144000,1983,504,884,0,12,7,"Gd","TA","RFn","CompShg","TA","Gable"
319900,2005,576,1752,1296,2,5,"Ex","TA","RFn","CompShg","TA","Hip"
239686,2003,670,2149,83,8,5,"Ex","TA","RFn","CompShg","TA","Gable"
249700,2006,826,1656,1632,7,5,"Ex","TA","RFn","CompShg","TA","Gable"
127000,1966,386,955,192,1,7,"Ex","TA","Unf","CompShg","TA","Gable"
177000,1997,388,1470,612,7,6,"Gd","TA","Fin","CompShg","TA","Gable"
114500,1950,528,1176,816,9,6,"TA","TA","Unf","CompShg","TA","Gable"
385000,1987,894,1842,32,11,5,"Gd","TA","Fin","Other","TA","Gable"
130000,1955,572,1360,0,2,5,"TA","TA","Unf","CompShg","TA","Gable"
180500,1964,576,1425,935,7,5,"Gd","TA","RFn","CompShg","TA","Gable"
172500,2000,480,1739,321,8,5,"Ex","TA","Fin","CompShg","TA","Gable"
196500,2004,565,1720,860,8,5,"Ex","TA","RFn","CompShg","TA","Gable"
438780,2006,641,2945,1410,10,5,"Ex","TA","Fin","CompShg","TA","Hip"
124900,1972,352,780,148,1,7,"Ex","TA","Unf","CompShg","TA","Gable"
158000,2004,576,1158,217,5,5,"Ex","TA","Unf","CompShg","TA","Gable"
101000,1996,288,1111,530,3,7,"TA","Other","Unf","CompShg","TA","Gable"
202500,2006,484,1370,1346,10,5,"Ex","Gd","RFn","CompShg","TA","Gable"
219500,1998,645,2034,318,2,5,"Ex","TA","RFn","CompShg","TA","Gable"
226000,2003,558,1479,440,6,5,"Ex","TA","RFn","CompShg","TA","Gable"
80000,1950,220,747,747,6,6,"TA","TA","Unf","CompShg","Gd","Gable"
225000,1953,667,2287,701,7,4,"TA","TA","Fin","CompShg","TA","Gable"
244000,1973,516,2223,343,2,6,"Ex","TA","Fin","CompShg","Gd","Gable"
